nombre_oficial,url,calle,colonia,cp,alcaldia,telefonos,horarios,costos,resumen,fundacion,latitud,longitud
"M68, Memorial de 1968 y Movimientos sociales",https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1600,Ricardo Flores Magón s/n,Nonoalco Tlatelolco,6900,Cuauhtémoc,"55 5583 4092, 5117 2818 ext. 49691 y 49697",De miércoles a jueves de 11 a 17 h. y de viernes a domingo de 11 a 18 h.,"Acceso general: $40; estudiantes, maestros (con credencial vigente), miembros de INAPAM y vecinos de la zona (mostrar INE) $20. Domingos entrada libre.","A través de dispositivos digitales, piezas artísticas y documentos, esta exposición es un Memorial del movimiento estudiantil de 1968 y un recorrido paralelo por otros movimientos sociales que han contribuido al reconocimiento de derechos en México.",,19.4518217,-99.1434995
Museo Salón de Cabildos del Antiguo Palacio del Ayuntamiento,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2067,Plaza de la Constitución 2,Centro Histórico,6000,Cuauhtémoc,"55 5345 8000, 55 1719 3000 ext. 1338",Lunes a viernes de 10:00 a 17:00 hrs. Sábados y domingos de 10:00 a 19:00 hrs. Noches de Museos hasta las 22:00 hrs.,Entrada gratuita.,"El Museo Salón de Cabildos del Antiguo Palacio del Ayuntamiento se localiza en el primer piso del Antiguo Palacio del Ayuntamiento y cuenta con el Salón de Cabildos, los salones de Virreyes y el Centro Documental Francisco Gamoneda.",,19.4317762,-99.13387639999999
Museo Panteón de San Fernando,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1176,Plaza San Fernando 17,Guerrero,6300,Cuauhtémoc,55 5518 4736,Martes a domingo de 11 a 17 hrs.,Entrada libre.,"El Museo Panteón de San Fernando es un camposanto fundado en 1832 que alberga las tumbas de políticos, militares, gobernantes y personalidades importantes de la sociedad mexicana del siglo XIX.",18 de julio de 2006,19.4391052,-99.1480692
Museo de Arte Transfemenino (MAT),https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2510,Dr. Andrade 24,Doctores,6720,Cuauhtémoc,,Miércoles a sábado de 13 a 18 h,Entrada libre,"Este espacio constituye un hito en la historia del arte contemporáneo y la memoria trans en Latinoamérica. El MAT funciona como un proyecto de vida y plataforma para la investigación, curaduría y difusión de prácticas artístico-culturales de mujeres trans en México y la región latinoamericana.",7 de febrero de 2025,19.4254646,-99.1445758
Mundo Chocolate Museo (MUCHO),https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1532,Milán 45 esq. Roma,Juárez,6600,Cuauhtémoc,55 5535 0410,Lunes a domingo  de 11 a 17:00 h,"Entrada general $80.00, Niños a a partir de 5 años, estudiantes, docentes, adultos mayores, $55.00, Personas con discapacidad, entrada libre, Niños menores de 4 años, entrada libre, Taller de chocolate de metate en horario de 12 a 15 h, con un costo  de $220 por persona",El Museo del Chocolate (MUCHO) fue fundado el 24 de mayo de 2010 y tiene por objeto ofrecer a sus visitantes un panorama completo sobre los orígenes del chocolate y su estado actual.,24 de mayo de 2010,19.4294389,-99.157229
Museo Memoria y Tolerancia,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1313,Av. Juárez 8,Centro,6010,Cuauhtémoc,55 5130 5555 ext. 4106,"Martes a viernes de 9 a 17 h, Cierre de taquillas: 16:45 h. Fines de semana de 10 a 18 h, Cierre de taquillas: 17:45 h. Lunes: cerrado","Recorrido Libre: Público en general: $140; estudiantes, maestros e INAPAM: $105. Exposición temporal: $100; estudiantes, maestros e INAPAM: $70.","El Museo Memoria y Tolerancia se enfoca en la memoria histórica de los genocidios y la tolerancia, con exposiciones permanentes y temporales, así como obras de arte contemporáneo.",,19.4344085,-99.14308109999999
Museo del Tequila y el Mezcal (MUTEM),https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1473,Eje Central Lázaro Cárdenas s/n,Centro,6010,Cuauhtémoc,"55 5526 6540, 5529 1238 ext. 103","Abierto al público de domingo a miércoles de 11 a 22 hrs., de jueves a sábado de 11 a 24 hrs.","Entrada general: $90, Estudiantes, profesores e INAPAM: $45","El Museo del Tequila y el Mezcal ofrece al público visitante la oportunidad de conocer la tradicional forma de elaboración de ambas bebidas alcohólicas, así como instrumentos musicales propios del mariachi moderno.",,19.4395049,-99.1400555
Museo de Arte Popular,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1092,Revillagigedo 11 esq. Independencia,Centro,6050,Cuauhtémoc,55 5510 2201 ext. 102,Martes a domingo de 10:00 a 18:00 h,"Entrada general: $60. No pagan: menores de 18 años, personas con discapacidad, personas adultas mayores, artesanos, estudiantes y profesores con credencial. Domingos: entrada libre.","El Museo de Arte Popular tiene como objetivo impulsar y dignificar el arte popular mexicano, mediante su recuperación, fomento y difusión.",,19.4333096,-99.14604179999999
Museo del Calzado El Borceguí,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=969,"Bolívar 27, piso 1",Centro Histórico,6000,Cuauhtémoc,"55 5521 8380 ext. 110, 55 5510 0627 exts. 113, 114","Abierto al público de lunes a viernes de 10 a 14 hrs. y de 15 a 18 hrs., sábados de 10 a 18 hrs.",Entrada libre,"Museo considerado el único en su género en América Latina, que exhibe 2000 piezas de calzado natural y 15 mil miniaturas alusivas al calzado, elaboradas en diversos materiales.",1 de marzo de 1991,19.4336693,-99.1381784
Museo del Ejército y Fuerza Aérea Mexicanos de Bethlemitas,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=972,Filomeno Mata 6,Centro,6060,Cuauhtémoc,"(55) 5512 3215, 5512 7586","Abierto al público de martes a sábado de 10 a 18 hrs., domingos y días festivos de 10 a 16 hrs.",Entrada libre,El Museo del Ejército y Fuerza Aérea Mexicanos de Bethlemitas se encuentra en un edificio barroco construido por la orden de los Bethlemitas en 1675. Albergó al Colegio Militar y fue inaugurado como museo en 1991.,,19.4354495,-99.13896439999999
Museo de la Cancillería,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1519,República de El Salvador 47,Centro,6000,Cuauhtémoc,55 3686 5100 ext. 8327,Abierto al público de lunes a viernes de 10 a 17 hrs.,Entrada libre,"El Museo de la Cancillería fue inaugurado en el inmueble del antiguo Oratorio San Felipe Neri, y alberga piezas obtenidas mediante la colaboración con el programa Pago en Especie del Servicio de Administración Tributaria (SAT).",15 de noviembre de 2011,19.4296147,-99.13839449999999
SimiCasa,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2502,Río Neva 17,Renacimiento,6500,Cuauhtémoc,55 5929 4126,"Martes a jueves de 9:00 a 17:00 h, Viernes a domingo de 9:00 a 18:00 h","General: $100.00, Maestros: $100.00, Estudiantes, niños y adulto mayor (tarjeta bienestar): $50.00","El Museo Dr. Simi está ubicado en una casa de estilo ecléctico y cuenta la historia de Víctor González, el creador del Dr. Simi, y el origen de Farmacias Similares.",,19.431801,-99.1630129
Museo Vizcaínas,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2008,Vizcaínas 21,Centro Histórico,6080,Cuauhtémoc,55 5130 7123,"Visitas guiadas el último viernes de cada mes a las 12 hrs. Se ofrecen visitas guiadas privadas para grupos, mínimo 10 asistentes, de lunes a viernes de 8 a 13 hrs. Para sábado de 8 a 12 hrs, mínimo 15 asistentes. Desayunos grupales de lunes a viernes de 8 a 11 hrs.","Donativo general para visita guiada: $150 por persona. Descuento: $75 para estudiantes, profesores y adultos mayores.","El Museo Vizcaínas resguarda una colección conformada por una pinacoteca virreinal, una capilla doméstica, más de 3000 piezas textiles y una colección de ciencias e historia de la educación, así como historia de la vida cotidiana femenina en México, siglos XVIII-XX.",,19.4284445,-99.1405996
Museo Nacional de la Revolución,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=705,Plaza de la República s/n,Tabacalera,6030,Cuauhtémoc,"55 5546 2115, 55 5566 1902","Abierto al público de martes a viernes de 9 a 17 hrs., sábado y domingo de 9 a 19 hrs.","Entrada general: $34, 50% de descuento al presentar credencial vigente de estudiante, maestro e INAPAM, Domingos entrada libre",El Museo Nacional de la Revolución está ubicado en el sótano del Monumento a la Revolución y tiene como objetivo consolidarse como un instrumento didáctico para la enseñanza de la historia de México.,1986,19.4367044,-99.1542287
Museo del Padre Pro,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1867,Puebla 144 entre Jalapa y Orizaba,Roma,6700,Cuauhtémoc,"55 5511 9035, 55 5511 9035 ext 21",Abierto al público de Lunes a viernes de 10 a 13 hrs.,Entrada libre,"El Museo del Padre Pro alberga las principales reliquias del Padre Pro, incluyendo la ropa que llevaba puesta el día de su fusilamiento.",1 de enero de 1995,19.3222427,-99.2243396
"Museo Indígena, Antigua Aduana de Peralvillo",https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1560,Paseo de la Reforma Nte. 707,Morelos,6200,Cuauhtémoc,55 5529 4699,Lunes a domingo de 11 a 17 hrs.,Entrada libre,"El Museo Indígena Antigua Aduana de Peralvillo del Instituto Nacional de los Pueblos Indígenas (INPI) es un espacio de confluencia y diálogo intercultural, con base en la difusión del patrimonio cultural de los pueblos indígenas de México.",,19.4490773,-99.1341346
Museo Banco de México,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2202,"Av. 5 de Mayo, núm. 2",Centro Histórico,6000,Cuauhtémoc,55 5237 2000,Martes a domingo de 11 a 17 hrs.,"El acceso al museo es gratuito, previa cita",El Museo Banco de México alberga exhibiciones dirigidas al contenido del dinero y la estrecha relación del Banco de México con la sociedad. Se exhibe la colección numismática que la institución ha reunido desde 1929.,27 de septiembre de 2021,19.4349952,-99.1403402
Museo de la Ciudad de México,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=797,José María Pino Suárez 30,Centro Histórico,6060,Cuauhtémoc,"55 5522 9936, 55 5542 0083, 5542 0487",Martes a domingo de 10 a 17:30 h.,"Entrada general: $ 41, Estudiantes, maestros y afiliados al INAPAM: $21, Domingo entrada libre","El Museo de la Ciudad de México ocupa un edificio de estilo barroco que data del siglo XVI y fue residencia de los condes de Calimaya. Después de diversos usos, en 1960 fue inaugurado como museo.",31 de octubre de 1964,19.4293827,-99.1319267
Museo Nacional de San Carlos,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=804,Puente de Alvarado 50,Tabacalera,6030,Cuauhtémoc,55 8647 5800 al 03,Martes a domingo de 10 h a 18 h,"Entrada general: $70, Entrada gratuita (aplica únicamente al presentar credencial oficial vigente): menores de 13 años, estudiantes, docentes, personas adultas mayores y personas con discapacidad, Entrada libre: domingos","El Museo Nacional de San Carlos es un museo que alberga una colección de obras de arte con los grandes estilos pictóricos europeos, desde el gótico internacional hasta los movimientos plásticos del siglo XX.",1968,19.4392178,-99.15343639999999
Museo Centro de la Imagen,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2075,Plaza de la Ciudadela 2,Centro Histórico,6040,Cuauhtémoc,55 4155 0850,Acceso a salas para público: miércoles a domingo de 10 a 19 hrs. Horario de atención en oficinas: Lunes a viernes de 10 a 18 hrs.,Entrada libre.,"El Centro de la Imagen es más que un museo. Es un espacio dedicado a difundir, preservar y promover la reflexión sobre la fotografía y la imagen entre diversos públicos.",,19.4297131,-99.1503209
Centro de Interpretación Xaltilolli,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1518,Av. Ricardo Flores Magón s/n,Nonoalco Tlatelolco,6900,Cuauhtémoc,55 5517 2818 ext. 49691,De miércoles a jueves de 11 a 17 h. y de viernes a domingo de 11 a 18 h.,"Acceso general: $40; estudiantes, maestros (con credencial vigente), miembros de INAPAM y vecinos de la zona (mostrar INE) $20. Domingos entrada libre.",El Centro de Interpretación Xaltilolli resguarda el acervo del Fondo Universitario de Artes de los Pueblos Originarios (FUAPO) y exhibe una muestra permanente de 160 piezas representativas de todas las colecciones.,,19.4518217,-99.1434995
Museo Postal y Filatélico,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=689,Tacuba 1,Centro,6000,Cuauhtémoc,"55 5130 4100 exts. 15560, 15586","Lunes a viernes de 10 a 14 h, sábado y domingo de 10 a 15 h",Entrada libre,"El Museo Postal y Filatélico alberga la historia del correo en México, las comunicaciones y la filatelia. Forma parte fundamental de la historia de la Secretaría de Comunicaciones y Transportes y del Servicio Postal Mexicano.",1920,19.4355588,-99.1402371
Museo de Patología Hospital General de México Eduardo Liceaga,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2238,Dr. Balmis 148,Doctores,6720,Cuauhtémoc,,,,El Museo de Patología del Hospital General de México Eduardo Liceaga es un museo que alberga una colección de piezas relacionadas con la patología.,1953-01-01,19.4129309,-99.1520493
Museo de Cera de la Ciudad de México,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=43,Londres 6,Juárez,6600,Cuauhtémoc,55 5546 7670,Lunes a domingo de 11 a 19 h,Costa de la entrada: consultar su página.,"El Museo de Cera de la Ciudad de México cuenta con una colección de más de 230 figuras de personajes famosos de la historia, el arte, la política, el deporte, del mundo artístico, de la fantasía y del terror, todos ellos situados en escenarios estupendos y en una típica casa de la antigua colonia Juárez.",,19.4284272,-99.1570498
Museo del Palacio de Bellas Artes,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1080,Av. Juárez s/n esq. Eje Central Lázaro Cárdenas,Centro Histórico,6050,Cuauhtémoc,"55 1000 4622 ext. 2132, 2155",Martes a domingo de 10 h a 18 h,"Entrada general: $90, Entrada gratuita (aplica únicamente al presentar credencial oficial vigente): estudiantes, docentes, personas adultas mayores y personal de la Secretaría de Cultura y del INBAL, Entrada libre: domingos","El Museo del Palacio de Bellas Artes es el primer museo de arte en México, conformado por ocho salas de exhibición con una colección permanente de 17 murales realizados por diversos pintores mexicanos.",1934,19.4327252,-99.1411093
Galería de Arte de la SHCP,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2217,República de Guatemala 8,Centro,6000,Cuauhtémoc,"55 3688 1100 exts. 81666, 81656",Martes a domingo de 10 a 18 h.,,"Es una construcción neoclásica de principios del siglo XIX, atribuida a Manuel Tolsá, en la que se exhiben artistas de las colecciones Pago en Especie, Acervo Patrimonial de la SHCP, y creadores contemporáneos en general.",1 de enero de 1982,19.4341099,-99.1344081
Palacio de Cultura Banamex (Palacio de Iturbide),https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=854,Francisco I. Madero 17,Centro Histórico,6000,Cuauhtémoc,55 1226 0004,Abierto al público de lunes a domingo de 10 a 19 h,Entrada libre,El Palacio de Cultura Banamex (Palacio de Iturbide) es un museo ubicado en un palacio histórico construido entre 1779 y 1785.,,19.4335918,-99.1389566
Museo Casa de la Memoria Indómita,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1538,Regina 66,Centro,6000,Cuauhtémoc,55 5709 1512,Martes a domingo de 10 a 17:30 h.,Entrada general: $25. Todas las visitas son guiadas. Recorridos cada media hora.,"El Museo Casa de la Memoria Indómita exhibe documentos, fotografías y objetos relacionados con las desapariciones forzadas de la conocida guerra sucia en México.",,19.4278489,-99.1346114
Museo Soumaya. Casa Museo Guillermo Tovar de Teresa,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2069,Valladolid 52,Roma,6700,Cuauhtémoc,55 1103 9800,lunes a domingo de 10:30 a 17 hrs.,Entrada libre,"El Museo Soumaya. Casa Museo Guillermo Tovar de Teresa es una de las tres sedes del Museo Soumaya de Fundación Carlos Slim. Ubicado en la colonia Roma, el recinto es una casona porfiriana que perteneció a Guillermo Tovar de Teresa.",20 de diciembre de 2018,19.4201805,-99.16805149999999
Museo Nacional de la Estampa (MUNAE),https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=812,"Av. Hidalgo 39, Plaza de la Santa Veracruz",Centro,6050,Cuauhtémoc,"55 8647 5220 exts. 5440, 5443",Martes a domingo de 10 h a 18 h,"Entrada general: $55, Entrada gratuita (aplica únicamente al presentar credencial oficial vigente): estudiantes, docentes y personas adultas mayores, Entrada libre: domingos","El Museo Nacional de la Estampa (MUNAE) tiene el objetivo de difundir la obra gráfica de artistas de México y del extranjero, así como reunir, conservar, investigar y documentar piezas inscritas en las disciplinas artísticas del grabado y la estampa.",17 de diciembre de 1986,19.4375815,-99.14223179999999
Casa Rivas Mercado,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2216,Héroes 45,Guerrero,6300,Cuauhtémoc,"55 8320 9195; 55 8536 8554, 55 2591 6666",,"Entrada general $ 200, $150 estudiantes y maestros (Con credencial vigente), $100 adultos mayores, $ 40 vecinos Col. Guerrero, Santa Ma. La Ribera, Buenavista, y Tlatelolco (Con comprobante de domicilio vigente), $100 con Pasaporte 101 Museos / AMAM vigente. -Menores de 12 años entrada libre.","La Casa Rivas Mercado es una joya arquitectónica de finales del siglo XIX proyectada por el Arq. Antonio Rivas Mercado. En el 2017 la casa fue recuperada y restaurada gracias a la Fundación Conmemoraciones 2010, A.C., abre sus puertas como testimonio de la historia de México de finales del siglo XIX y principios de siglo XX.",,19.4405923,-99.1467411
Museo Nacional de Arte (MUNAL),https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=439,Tacuba 8,Centro Histórico,6010,Cuauhtémoc,55 8647 5430 ext. 5035,Martes a domingo de 10 h a 18 h,"Entrada general: $95, Entrada gratuita (aplica únicamente al presentar credencial oficial vigente): menores de 13 años, estudiantes, docentes, personas adultas mayores, personas pertenecientes al programa Amigos MUNAL y personas con discapacidad (solo para nacionales), Miembros del ICOM: 50% de descuento, La utilización de dispositivos para tomar fotografías (sin flash ni tripié) o para grabar está sujeta al pago de derechos ($5 y $30, respectivamente)","El Museo Nacional de Arte (MUNAL) tiene la misión de conservar, exhibir, estudiar y difundir creaciones artísticas producidas en México del siglo XVI al XX, ofreciendo una visión global y sintetizada de la historia del arte mexicano.",23 de julio de 1982,19.4360698,-99.1394686
Laboratorio Arte Alameda (LAA),https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=427,Dr. Mora 7,Centro Histórico,6050,Cuauhtémoc,55 8647 5660,Martes a domingo de 9 h a 17 h,"Entrada general: $45, Entrada gratuita (aplica únicamente al presentar credencial oficial vigente): estudiantes, docentes, personas adultas mayores, personas con discapacidad y personas con membresía Amigxs del MUAC, Entrada libre: domingos","El Laboratorio Arte Alameda es un espacio dedicado a la exhibición, la documentación, la producción y la investigación de prácticas curatoriales, artísticas y pedagógicas en las que se profundiza en la relación arte-ciencia-tecnología.",1 de enero del 2000,19.4365045,-99.14673189999999
Galerías de la Antigua Academia de San Carlos,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1464,"Academia 22, piso 1",Antiguo Barrio Universitario,6060,Cuauhtémoc,55 5522 3387 ext. 214,Abierto al público de lunes a viernes de 10 a 18 hrs.,Entrada libre,Las Galerías de la Antigua Academia de San Carlos son un museo que alberga una importante colección de arte acumulada a lo largo de dos siglos por la Academia.,,19.4330102,-99.1285805
Museo Interactivo de Economía (MIDE),https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1096,Tacuba 17,Centro,6000,Cuauhtémoc,55 5130 4600 ext. 2900,Martes a domingo de 9 a 17 h,"Entrada general: $160, Estudiantes, maestros, INAPAM, discapacidad: $80","El Museo Interactivo de Economía (MIDE) es el primer museo del mundo dedicado a la economía. Inaugurado en 2006, ofrece información sobre temas económicos de manera interactiva y sencilla.",2006,19.4356584,-99.13833319999999
Museo de Arte de la Secretaria de Hacienda y Crédito Público (SHCP),https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=968,Moneda 4,Centro,6000,Cuauhtémoc,"55 3688 1100 exts. 81666, 81656",Lunes a viernes de 8 a 20 h.,Entrada libre.,"El Museo de Arte de la Secretaria de Hacienda y Crédito Público (SHCP) alberga exposiciones artísticas de las colecciones Pago en Especie y Acervo Patrimonial, bajo resguardo de la SHCP.",,19.4337433,-99.13139059999999
Museo La Ciudad y la Torre a través de los siglos,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1992,"Eje Central Lázaro Cárdenas 2, piso 38",Centro,6000,Cuauhtémoc,55 5518 7423,Lunes a domingo de 9 a 22 hrs.,"Entrada: mirador y museo adultos $ 220, mirador y museo niños e INAPAM $ 120","El museo ilustra la historia del sitio donde fue construida la Torre Latinoamericana y del centro de la Ciudad de México, como preámbulo a la de este edificio, que ha sido considerado por muchos un símbolo de la Ciudad.",17 de marzo de 2006,19.433921,-99.1406428
Antiguo Colegio de San Ildefonso,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=768,Justo Sierra 16,Centro Histórico,6020,Cuauhtémoc,"55 3602 0029, 55 3602 0035",Martes a domingo de 11 a 17:30 hrs.,"Entrada general $50, Estudiantes y maestros con credencial vigente $25, Entrada libre a menores de 12 años, personas con discapacidad, adultos mayores, Domingo entrada libre",El Antiguo Colegio de San Ildefonso es una de las edificaciones coloniales más importantes del centro histórico de la Ciudad de México. Fue una de las instituciones educativas más importantes de la capital de la Nueva España.,1588,19.4361225,-99.1307525
Ex Teresa Arte Actual (EXTAA),https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=771,Licenciado Primo Verdad 8,Centro,6060,Cuauhtémoc,55 4122 8020,Martes a domingo de 10 h a 18 h,Entrada libre,"El Ex Teresa Arte Actual (EXTAA) es un museo dedicado al arte contemporáneo, que alberga prácticas artísticas como la experimentación sonora, audiovisual, performance, videoarte y la instalación de sitio específico.",26 de mayo de 1993,24.1523249,-110.3115193
Galería José María Velasco,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2428,Peralvillo 55,Morelos,6200,Cuauhtémoc,"55 5772 0542, 55 8647 5300",Lunes a viernes de 10 h a 18 h,Entrada libre,El museo tiene como objetivo resarcir el tejido social a través de las distintas manifestaciones de la cultura pop mexicana.,7 de septiembre de 1962,19.4479446,-99.13222069999999
Museo Nacional de Arquitectura (MUNARQ),https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=716,Av. Juárez s/n,Centro Histórico,6050,Cuauhtémoc,"55 8658 1100 exts. 6303, 6312",Martes a domingo de 10 h a 18 h,"Entrada general: $70, Entrada gratuita (aplica únicamente al presentar credencial oficial vigente): menores de 12 años, estudiantes, docentes y personas adultas mayores, Entrada libre: domingos","El Museo Nacional de Arquitectura (MUNARQ) es un espacio dedicado a la exhibición, la promoción y la difusión de los valores de la arquitectura moderna y el urbanismo.",26 de enero de 1984,19.4349445,-99.1451229
Museo Ídolos del Esto,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1728,Guillermo Prieto 7,San Rafael,6470,Cuauhtémoc,55 5566 1511 ext. 1285,Abierto al público de jueves a martes de 9 a 18 hrs.,"Entrada libre a niños y personas de la tercera edad. Entrada libre al público en general (presentando un ejemplar de cualquier periódico de la Organización Editorial Mexicana: El Sol de México, ESTO, Prensa)","El Museo Ídolos del Esto está dedicado al deporte y al espectáculo nacional, con más de 200 objetos donados por deportistas, actores y actrices de México.",18 de noviembre de 2008,19.4376947,-99.1601246
Museo Mexicano del Diseño (MUMEDI),https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1212,Bucareli 35-4,Juárez,6600,Cuauhtémoc,"55 5160 7376, 55 3244 7090",Lunes a domingo de 9 a 19 h,,"El Museo Mexicano del Diseño (MUMEDI) tiene como objetivo apoyar y promover el trabajo de los diseñadores de origen nacional e internacional, exponiendo la historia del diseño en México.",1 de enero de 2002,19.4333527,-99.1513554
Palacio Nacional,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2360,Plaza de la Constitución s/n,Centro,6000,Cuauhtémoc,"55 3688 1100 exts. 81666, 81656, 55 5093 4900, 55 3688 1666",Martes a domingo de 9 a 17 h,Entrada gratuita.,"El Palacio Nacional es un monumental recinto que ha sido la sede del poder y la soberanía del pueblo mexicano desde el siglo XVI. Alberga oficinas de la Presidencia de la República, la Secretaría de Hacienda, jardines, museos y murales.",,19.432749,-99.1340816
Recinto Parlamentario,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1079,Plaza de la Constitución s/n,Centro,6000,Cuauhtémoc,"55 3688 1100 exts. 81666, 81656",Martes a domingo de 10 a 16 h. (requiere registro previo para su visita),,El Recinto Parlamentario es un majestuoso salón neoclásico que albergó la Cámara de Diputados durante gran parte del siglo XIX.,31 de enero de 1972,19.432749,-99.1340816
Museo de la Caricatura,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=796,Donceles 99,Centro Histórico,6020,Cuauhtémoc,55 5704 0459,Abierto al público de lunes a domingo de 11 a 19 hrs.,Aportación voluntaria,"El Museo de la Caricatura ocupa el histórico inmueble Real Colegio de Cristo, ubicado en el Centro Histórico de la ciudad de México. Este museo se encarga de preservar, resguardar y difundir las obras realizadas por caricaturistas mexicanos a lo largo de la historia.",,19.4357171,-99.1326562
Recinto de Homenaje a Don Benito Juárez,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=974,Plaza de la Constitución s/n,Centro Histórico,6066,Cuauhtémoc,"55 3688 1100 exts. 81666, 81656",Martes a domingo de 10 a 16 horas (requiere registro previo para su visita),,"El Recinto de Homenaje a Don Benito Juárez, creado en 1957 en el espacio que ocuparon las habitaciones del Benemérito en Palacio Nacional, cuenta con una biblioteca especializada en la historia de México del siglo XIX.",18 de julio de 1957,19.4333502,-99.1333215
Museo de las Constituciones,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1516,Del Carmen s/n esq. San Ildefonso,Centro Histórico,6010,Cuauhtémoc,"55 5702 6956, Whatsapp: 55 2959 8609, 55 5702 9815 ext. 1001",Abierto al público de miércoles a domingo de 10 a 17 hrs.,Entrada libre,El Museo de las Constituciones tiene por objeto dar a conocer la historia constitucional de México y promover su estudio.,,19.4362814,-99.1295192
Museo de Sitio del Centro Cultural Casa Talavera,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=707,Talavera 20,Centro,6090,Cuauhtémoc,"(55) 5542 9963, 5542 0784",,,"El Museo de Sitio del Centro Cultural Casa Talavera resguarda y exhibe vasijas decoradas, cucharas, navajas y raederas para limpiar pieles, un conjunto de malacates, sellos y figurillas de barro cocido, así como objetos de la época virreinal.",1988,19.4282522,-99.12731219999999
Museo de la Inquisición,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2239,"Tacuba 76, segundo piso",Centro,6000,Cuauhtémoc,55 55 12 46 20,Lunes a domingo de 10 a 18 h,"Público en General $95, Estudiantes, maestros, INAPAM $70 (con credencial vigente), Grupo mayores a 10 personas $65.","Este museo ofrece al público la historia de la Inquisición. Cuenta con una museografía dividida por secciones, que tratan el tema de la Inquisición, su origen y los personajes más emblemáticos de este hecho histórico.",18 de septiembre de 2009,19.4354915,-99.1351038
Museo del Juguete Antiguo México (MUJAM),https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1106,Dr. Olvera 15,Doctores,6720,Cuauhtémoc,55 5588 2100,"Abierto al público de lunes a viernes de 9 a 17 h., sábado de 9 a 16 hrs. y domingo de 10 a 16 hrs.",Entrada General $ 50,"El Museo del Juguete Antiguo México (MUJAM) exhibe una gran colección de juguetes antiguos y tradicionales de México, desde miniaturas hasta robots mecánicos.",29 de abril de 2008,19.4154957,-99.1445123
Museo del Estanquillo,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1105,Isabel la Católica 26,Centro,6000,Cuauhtémoc,55 5521 3052 ext. 101,Abierto al público de miércoles a lunes de 10 a 18 hrs. Cerrado el día martes,Entrada libre,"El Museo del Estanquillo alberga la colección del escritor Carlos Monsiváis, compuesta por más de 10 mil piezas de arte y cultura mexicana.",2006,19.4332534,-99.1361441
